TAMPA BAY AVIATION INC                            ,1000 N HERCULES AVE                ,CLEARWATER AIRPARK                 ,                                   ,CLEARWATER            ,FL,33765,156R,SO35,156R020D
AVIATION ENGINEERING CONSULTANTS INC              ,2754 SUNSET POINT ROAD             ,                                   ,                                   ,CLEARWATER            ,FL,33759,15AR,SO35,15AR684Y
INTERACTIVE CAD SERVICES INC                      ,2101 North Yellowood Ave           ,                                   ,                                   ,BROKEN ARROW          ,OK,74012,15IR,SW15,15IR075B
LUFTHANSA TECHNIK COMPONENT SERVICES              ,7424 EAST 30TH STREET NORTH        ,                                   ,                                   ,TULSA                 ,OK,74115,15LR,SW15,15LR725Y
AV-COM AVIONICS LLC                               ,2772 SW Glacier Ave                ,                                   ,                                   ,Redmond               ,OR,97756,169R,NM09,169R929C
PARAGON NDT LLC                                   ,2210 S. Edwards St.                ,                                   ,                                   ,Wichita               ,KS,67213,172R,CE07,172R877C
GOSHEN AIR CENTER                                 ,17229 COUNTY ROAD 42               ,                                   ,                                   ,GOSHEN                ,IN,46525,17GR,GL09,17GR159B
ALPHA AIRCRAFT SERVICES OF AMERICA INC            ,2317 FM 758                        ,NEW BRAUNELS MUNICIPAL AIRPORT     ,                                   ,NEW BRAUNFELS         ,TX,78130,17LR,SW17,17LR247B
SPACEPORT AVIONICS SERVICES INC                   ,7000 Challenger Avenue             ,                                   ,                                   ,Titusville            ,FL,32780,18SR,SO15,18SR043D
TAI ACQUISITION CORPORATION                       ,116 TEXAS WAY                      ,                                   ,                                   ,FORT WORTH            ,TX,76106,18TR,SW19,18TR248C
GENERAL MRO AEROSPACE INC                         ,3018 NW 72ND AVENUE                ,                                   ,                                   ,MIAMI                 ,FL,33122,19GR,SO19,19GR994Y
AIRWAY AEROSPACE INC.                            ,2150 NW 95TH AVENUE                ,                                   ,                                   ,DORAL                 ,FL,33172,19LR,SO19,19LR020B
TECHNO COATINGS INC                               ,1865 NE 144TH STREET               ,                                   ,                                   ,NORTH MIAMI           ,FL,33181,19TR,SO19,19TR441B
SATAIR USA INC                                    ,11255 NW 106th Street              ,                                   ,                                   ,Doral                 ,FL,33179,19UR,SO19,19UR764B
APPLE INTERNATIONAL INC                           ,367 INDUSTRIAL  DR.                ,                                   ,                                   ,BRISTOL               ,TN,37620,1A1R,CE19,1A1R131B
ATLANTIC GAS TURBINE CENTER INC                   ,3505 NW 153RD STREET               ,                                   ,                                   ,MIAMI GARDENS         ,FL,33054,1A3R,SO19,1A3R082B
ALPHA TURBINE AVIATION TECHNOLOGY LLC             ,8050 NW 31ST STREET                ,                                   ,                                   ,MIAMI                 ,FL,33122,1A6R,SO19,1A6R094B
AUSTIN AEROTECH REPAIR SERVICES INC               ,2005 WINDY TERRACE                 ,                                   ,                                   ,CEDAR PARK            ,TX,78613,1A7R,SW17,1A7R319B
ASIG LLC                                          ,10 COLLINS INDUSTRIAL PLACE        ,SUITE 3B                           ,                                   ,MAUMELLE              ,AR,72113,1AAR,SW11,1AAR970Y
ADI INTERNATIONAL CORPORATION                     ,2311 P-51 COURT                    ,                                   ,                                   ,MINDEN                ,NV,89423,1ADR,WP19,1ADR654Y
CABIN AERO LLC                                    ,120 TECHNOLOGY PARKWAY             ,                                   ,                                   ,NORCROSS              ,GA,30092,1AFR,SO11,1AFR109B
AVIATION INTERIOR SERVICES INC                    ,100 CROSSWIND DRIVE                ,                                   ,                                   ,SEARCY                ,AR,72143,1ANR,SW11,1ANR029B
XTRA AEROSPACE LLC                                ,15901 SW 29 STREET SUITE 201      ,                                   ,                                   ,MIRAMAR               ,FL,33027,1ARR,SO19,1ARR023B
AIRCRAFT CABIN SYSTEMS LLC                        ,18080 NE 68TH STREET BLDG. B      ,                                   ,                                   ,REDMOND               ,WA,98052,1ASR,NM01,1ASR959Y
WORLD WIDE AERONAUTICAL COMPONENTS INC            ,10 REITH STREET                    ,                                   ,                                   ,COPAIGUE              ,NY,11726,1AUR,EA11,1AUR034B
AIRWORTHY INTERNATIONAL INC                       ,BERTHAPHIL IV CIVIL AVIATION COMPL,A. BONIFACIO AVENUE                ,CLARK FREEPORT ZONE                ,PAMPANGA              ,  ,2033,1B3Y,FS58,1B3Y550C
WESTERN SKYWAYS TURBINE INC                      ,1 CREATIVE PLACE                   ,                                   ,                                   ,MONTROSE              ,CO,81404,1B6R,NM07,1B6R708C
BEIJING ANDAWELL SCIENCE & TECHNOLOGY CO LTD      ,NO. 19 DUYANG NORTH STREET         ,RENHE DISTRICT                     ,SHUNYI                             ,BEIJING               ,  ,101300,1BJY,FS58,1BJY616C
BUCHER AEROSPACE CORPORATION                      ,1310 INDUSTRY ST SUITE 100         ,                                   ,                                   ,EVERETT               ,WA,98203-7124,1BSR,NM01,1BSR390B
CORPORATE JET GROUP INC                           ,450 BRISCO BLVD                    ,                                   ,                                   ,LAWRENCEVILLE         ,GA,30045,1C1R,SO11,1C1R816B
MANTENIMIENTO Y SERVICIOS SCL LTDA                ,CAPITAN MANUEL AVALOS PRADO 1828   ,PUDAHUEL                           ,AMB INTERNATIONAL AIRPORT          ,SANTIAGO              ,  ,N/A       ,1C4Y,FS57,1C4Y391C
JNW ENTERPRISES LLC                               ,1775 E STREET NE                   ,HANGAR #5                          ,                                   ,AUBURN                ,WA,98002,1C8R,NM01,1C8R303C
CVG AEROSPACE LLC                                 ,13500 SW 134TH AVENUE              ,SUITE 6                            ,                                   ,MIAMI                 ,FL,33186,1C9R,SO19,1C9R855B
CAMARILLO AVIONICS                                ,CAMARILLO AIRPORT                  ,HANGER 223                         ,                                   ,CAMARILLO             ,CA,93010,1CKR,WP01,1CKR861B
CASTLE AVIATION AND REPAIR                        ,920 Mason Ln                       ,                                   ,                                   ,Waxahachie            ,TX,75167,1CLR,SW19,1CLR192B
C-RAY AVIONICS INC                                ,970 BEN EPPS DRIVE                 ,SUITE A                            ,                                   ,ATHENS                ,GA,30605,1CRR,SO11,1CRR279B
AERO-FLITE INC                                    ,8520 WEST ELECTRIC AVENUE          ,                                   ,                                   ,SPOKANE               ,WA,99224,1CSR,NM13,1CSR057B
LATITUDE AERO LLC                                 ,235 A Burgess Rd.                  ,                                   ,                                   ,Greensboro            ,NC,27409,1D3R,EA39,1D3R892C
CUSTOM PRODUCTS INC                               ,1618 Landis Highway                ,                                   ,                                   ,Mooresville           ,NC,28115,1D4R,EA68,1D4R893C
BLACKROCK AIRCRAFT MAINTENANCE & AVIONICS LLC     ,5203 Old Airport Rd                ,                                   ,                                   ,Hazle Township        ,PA,18202,1D8R,EA05,1D8R148C
DASSAULT FALCON JET - WILMINGTON CORP             ,4191 SOUTHERN BLVD                 ,                                   ,                                   ,WEST PALM BEACH       ,FL,33406,1D9R,SO19,1D9R931B
DASSAULT AIRCRAFT SERVICES CORPORATION            ,7701 WOODLEY AVENUE                ,                                   ,                                   ,VAN NUYS              ,CA,91406,1DFD,WP01,1DFD346B
DASSAULT AIRCRAFT SERVICES CORPORATION            ,365 SOUTH ROCK BLVD.               ,                                   ,                                   ,RENO                  ,NV,89502,1DFR,WP19,1DFR346B
TABY AIR MAINTENANCE AB                           ,OREBRO AIRPORT                     ,                                   ,                                   ,OREBRO                ,  ,S-70594   ,1DIY,FS59,1DIY838C
DESERT JET MAINTENANCE LLC                        ,56600 INVADER                      ,                                   ,                                   ,THERMAL               ,CA,92274,1DJR,WP21,1DJR318M
DESARROLLO DE TECNOLOGIA                          ,ROSAS 1444                         ,                                   ,                                   ,SANTIAGO              ,  ,8340259,1DSY,FS57,1DSY390C
DUKES AEROSPACE INC                               ,9060 WINNETKA AVE                  ,                                   ,                                   ,NORTHRIDGE            ,CA,91324,1DUR,WP01,1DUR590B
SOUTHCO AVIATION LLC                              ,205 Aviation Road                  ,                                   ,                                   ,Houma                 ,LA,70363,1DZR,SW03,1DZR871C
STS REPAIR AND MODIFICATION LLC                   ,100 Aerospace Drive                ,Unit #6                            ,                                   ,Melbourne             ,FL,32901,1E1R,SO15,1E1R898B
AEROSPACE DEFENSE SYSTEMS INC                     ,1116 East Lowe Circle              ,                                   ,                                   ,Fort Stewart          ,GA,31525,1E2R,SO11,1E2R323C
EXP AIRCRAFT SERVICES                             ,1004 DOUGLAS DRIVE                 ,NORTHWEST REGIONAL AIRPORT         ,                                   ,ROANOKE               ,TX,76262,1E4R,SW19,1E4R827B
SECONDO MONA SPA                                  ,Via Carlo Del Prete 1              ,                                   ,                                   ,Somma Lombardo Varese,  ,21019,1E8Y,FS59,1E8Y986C
BELL HELICOPTER MIAMI INC.                       ,2011 S. PERIMETER ROAD  SUITE L.  ,                                   ,                                   ,FT LAUDERDALE         ,FL,33309,1E9R,SO19,1E9R960Y
REINHOLD INDUSTRIES INC                           ,1500 MARINER DRIVE SUITE H        ,                                   ,                                   ,OXNARD                ,CA,93033,1EER,WP01,1EER640B
ECLIPSE AEROSPACE INC                             ,3520 Spirit Drive SE Hangar SP-3   ,                                   ,                                   ,ABQ                   ,NM,87106,1EOR,SW01,1EOR539B
ELITE AVIATION SERVICES INC                       ,950 South Old Missouri Road        ,                                   ,                                   ,Springdale            ,AR,72764,1EZR,SW11,1EZR979C
FLORIDA AERO SERVICES INC                         ,C/O Trinity Jet                    ,7515 Lemmon Ave.                   ,Hanger R                           ,Dallas                ,TX,75209,1F5R,SO15,1F5R990B
FLYBE AVIATION SERVICES LIMITED                   ,NEW WALKER HANGAR                  ,EXETER AIRPORT                     ,CLYST HONITON                      ,EXETER                ,  ,EX5 2BA   ,1FBY,FS59,1FBY806C
FLIGHT POWER REPAIR GROUP LLC                     ,7825 NW 57TH STREET                ,                                   ,                                   ,DORAL                 ,FL,33166,1FPR,SO19,1FPR847B
GLOBAL AIRSERVICES LLC                            ,14075 SW 143 COURT                 ,BAY 4                              ,                                   ,MIAMI                 ,FL,33186,1GBR,SO19,1GBR286B
GAR MRO SERVICES                                  ,7760 Cascade Avenue                ,                                   ,                                   ,WEST DES MOINES       ,IA,50266,1GOR,CE01,1GOR955B
GREAT PLANES FUEL METERING INC                    ,740 S. 142ND EAST AVE.             ,                                   ,                                   ,TULSA                 ,OK,74108,1GPR,SW15,1GPR022B
GOODWIN MECHANICAL SERVICES LLC                   ,914 W. BETTERAVIA RD.              ,                                   ,                                   ,SANTA MARIA           ,CA,93455,1GSR,WP01,1GSR291C
GWINNETT AERO MAINTENANCE LLC                     ,850 AIRPORT ROAD BOX 7             ,                                   ,                                   ,LAWRENCEVILLE         ,GA,30046,1GWR,SO11,1GWR012C
HANGAR R LLC                                      ,2550 N. GREAT SOUTHWEST PARKWAY    ,                                   ,                                   ,GRAND PRAIRIE         ,TX,75050,1H8R,SW19,1H8R826B
HARRISON AVIONICS INC                             ,360 MEMORIAL FIELD DRIVE           ,                                   ,                                   ,HOPKINSVILLE          ,KY,42240,1H9R,CE17,1H9R825B
HOT AIR AD-VENTURES LLC                           ,1430 W. HUMPHREY STREET            ,                                   ,                                   ,TAMPA                 ,FL,33604,1HAR,SO35,1HAR135B
HANGAR ONE AVIONICS INC                           ,2026 PALOMAR AIRPORT ROAD          ,                                   ,                                   ,CARLSBAD              ,CA,92011,1HGR,WP09,1HGR058B
HELITENDER INC                                    ,10300 AIRPARK WAY                  ,HANGAR 3                           ,                                   ,PACOIMA               ,CA,91331,1HTR,WP01,1HTR181B
HUNTER AVIATION AND CONSULTING LLC                ,HANGAR D-16                        ,ATLANTA REGIONAL AIRPORT           ,FALCON FIELD                       ,PEACHTREE CITY 30269  ,GA,30269,1HUR,SO11,1HUR261C
HARTZELL ENGINE TECHNOLOGIES LLC                  ,2900 SELMA HWY                     ,                                   ,                                   ,MONTGOMERY            ,AL,36108,1HZR,SO09,1HZR769B
INDUSTRIAL AERONAUTICA SA - INDAER                ,CALLE 6AA NO. 66-101 HANGAR 27    ,                                   ,ENRIQUE OLAYA HERRERA AIRPORT      ,MEDELLIN              ,  ,50024,1IDY,FS57,1IDY394C
INSTINCT LLC                                      ,3940 PROSPECT AVENUE               ,SUITE M                            ,                                   ,YORBA LINDA           ,CA,92886,1ILR,WP05,1ILR471B
AAR AIRCRAFT SERVICES - ALBUQUERQUE               ,3890 ABERDEEN DR.                  ,KIRTLAND AFB                       ,HANGAR 481 WEST                    ,ALBUQUERQUE           ,NM,87117,1IRR,SW01,1IRR102C
INDY AEROSPACE INC                                ,2801 Fortune Circle East Suite J   ,                                   ,                                   ,Indianapolis          ,IN,46241,1IYR,GL11,1IYR451C
INDY JET SERVICES LLC                             ,3867 AVIATION WAY                  ,Building #402                      ,                                   ,GREENFIELD            ,IN,46140,1JIR,GL11,1JIR829B
JETMARK AVIATION SERVICES INC                     ,3315 N. MEMORIAL                   ,HANGAR 31                          ,TULSA INTERNATIONAL AIRPORT        ,TULSA                 ,OK,74115,1JMR,SW15,1JMR280B
JET TECH LTD                                      ,16233 VANOWEN ST.                  ,HANGAR #1                          ,                                   ,VAN NUYS              ,CA,91406,1JTR,WP01,1JTR688B
READYJET TECHNICAL SERVICES INC.                 ,1 WARREN STREET                    ,                                   ,                                   ,JOHNSTOWN             ,NY,12095,1JYR,EA01,1JYR059C
AIR-CRAFTERS AVIATION LLC                         ,39450 3RD STREET EAST #147        ,                                   ,                                   ,PALMDALE              ,CA,93550,1KAR,WP01,1KAR994B
ALTENRHEIN AVIATION LTD.                          ,FLUGHAFENSTRASSE 11                ,9423 ALTENRHEIN                    ,                                   ,SWITZERLAND           ,  ,          ,1KGY,FS59,1KGY741C
LIVE AEROSPACE INC                                ,7205 NW 68TH ST                    ,BAY 11                             ,                                   ,MIAMI                 ,FL,33166,1L9R,SO19,1L9R030C
LANDING GEAR TECHNOLOGIES LLC                     ,7635 WEST 2ND COURT                ,                                   ,                                   ,HIALEAH               ,FL,33014,1LGR,SO19,1LGR375B
LKD AEROSPACE INC                                 ,8026 BRACKEN PLACE SE              ,                                   ,                                   ,SNOQUALMIE            ,WA,98065,1LKR,NM01,1LKR990Y
LUMA TECHNOLOGIES                                 ,13226 SE 30TH STREET               ,SUITE B-3                          ,                                   ,BELLEVUE              ,WA,98005,1LMR,NM01,1LMR778C
SAS PAUL LOPEZ                                    ,Espace technologique Jean Bertin   ,Avenue du 1er Mai                  ,                                   ,TARNOS                ,  ,40220,1LPY,FS59,1LPY905C
LUHTECH INC                                       ,NORTH COUNTY AIRPORT F45           ,11250 # 8 AVIATION BLVD            ,                                   ,WEST PALM BEACH       ,FL,33412,1LUR,SO19,1LUR269B
MTG AEROSPACE INC                                 ,7938 NW 66 STREET                  ,                                   ,                                   ,MIAMI                 ,FL,33166,1M2R,SO19,1M2R672B
EMBRAER EXECUTIVE JET SERVICES LLCCES INC         ,5643 SOUTH AVERY CIRCLE            ,                                   ,                                   ,MESA                  ,AZ,85212,1MB2,WP07,1MB2176B
EMBRAER EXECUTIVE JET SERVICES LLC                ,276 S.W. 34TH STREET               ,                                   ,                                   ,FT. LAUDERDALE        ,FL,33315,1MB3,SO19,1MB3176B
EMBRAER EXECUTIVE JET SERVICES LLC               ,41 PERIMETER ROAD                  ,                                   ,                                   ,WINDSOR LOCKS         ,CT,6096,1MBD,EA63,1MBD176B
EMBRAER AIRCRAFT MAINTENANCE SERVICES INC         ,10 AIRWAYS BOULEVARD               ,                                   ,                                   ,NASHVILLE             ,TN,37217,1MBR,CE19,1MBR176B
MATHER AVIATION VAN NUYS LLC                      ,7240 HAVENHURST PLACE              ,                                   ,                                   ,VAN NUYS              ,CA,91406,1MER,WP01,1MER830B
MASTER AIR PARTS INC                              ,3070 SKYWAY DRIVE SUITE 303        ,                                   ,                                   ,SANTA MARIA           ,CA,93455,1MPR,WP01,1MPR946Y
MP AERO LLC                                      ,7701 WOODLEY AVENUE                ,                                   ,                                   ,VAN NUYS              ,CA,91406,1MQR,WP01,1MQR180C
MONTGOMERY AVIATION LLC                           ,11329 East State Road 32           ,                                   ,                                   ,Zionsville            ,IN,46077,1MYR,GL11,1MYR828C
AIRCRAFT STRUCTURAL INSPECTIONS LLC               ,108A W. WASHINGTON                 ,                                   ,                                   ,MOUNTAIN VIEW         ,AR,72560,1NPR,SW11,1NPR910B
OLYMPIA PROPELLER GOVERNOR LLC                    ,4626 88TH AVE SW                   ,                                   ,                                   ,OLYMPIA               ,WA,98512,1OPR,NM01,1OPR610B
RSM HOLDINGS LLC                                  ,RSM HOLDINGS LLC                  ,953 AIRPORT SERVICE ROAD           ,                                   ,NASHVILLE             ,TN,37214,1ORR,CE19,1ORR139B
1 VISION AVIATION PLLC                            ,2500 Keokuk Avenue                 ,                                   ,                                   ,Sioux City            ,IA,51111,1OVR,CE01,1OVR169C
TEMP AIRCRAFT LLC                                 ,813 S. Airport Drive               ,                                   ,                                   ,Springfield           ,IL,62707,1P5R,GL19,1P5R894C
PRIORITY JET MAINTENANCE LLC                      ,1 CORSAIR DRIVE SUITE 200          ,                                   ,                                   ,ATLANTA              ,GA,30341,1PJR,SO11,1PJR531B
PEM-AIR TURBINE ENGINE SERVICES LLC               ,16300 FLIGHT PATH DRIVE            ,                                   ,                                   ,BROOKSVILLE           ,FL,34604,1PSR,SO35,1PSR238C
PLEXUS CORP                                       ,2444 SCHULTZ DR.                   ,                                   ,                                   ,NEENAH                ,WI,54957-2900,1PXR,GL13,1PXR451B
AEROESTRUCTURA DE COLOMBIA                        ,TRANSVERSAL 112B BIS A             ,NO. 65A-19                         ,VILLA GLADYS                       ,BOGOTA                ,  ,N/A       ,1QCY,FS57,1QCY392C
ISLA GRANDE MAINTENANCE AND AVIONICS SERVICES     ,ISLA GRANDE FLYING SCHOOL          ,FERNANDO LUIS RIBAS DOMINICCI      ,AIRPORT LOT G-6                    ,SAN JUAN              ,PR,919,1QPR,SO63,1QPR832B
R V MARINE INC                                    ,203 N DANDY ST.                    ,                                   ,                                   ,ST. MARYS             ,GA,31558,1RVR,SO11,1RVR314B
RAW SPENCER LLC                                   ,16911 103RD AVENUE E.              ,                                   ,                                   ,PUYALLUP              ,WA,98374,1RWR,NM01,1RWR197C
REXNORD INDUSTRIES LLC                            ,2162 UNION PLACE                   ,2175 UNION PLACE                   ,                                   ,SIMI VALLEY           ,CA,93065,1RXR,WP01,1RXR989B
STEIN'S AIRCRAFT SERVICES LLC                     ,4222 91st Avenue                   ,                                   ,                                   ,Kenosha               ,WI,53144,1S3R,GL13,1S3R356M
SIGNATURE AEROSPACE INC                           ,1343 TERRELL MILL ROAD SE         ,SUITE 364                          ,                                   ,MARIETTA              ,GA,30067,1SAR,SO11,1SAR999Y
SARASOTA AVIONICS INC                             ,2633 LANTANA ROAD                  ,BLDG 214                           ,                                   ,LANTANA               ,FL,33462,1SER,SO19,1SER284B
SOUTHERN JET MANAGEMENT LLC                       ,1800 AIRPORT ROAD                  ,                                   ,                                   ,KENNESAW              ,GA,30144,1SJR,SO11,1SJR607Y
SKYLINE AIRCRAFT AVIONICS DIVISION                ,3403 AIRPORT RD.                   ,                                   ,                                   ,NAMPA                 ,ID,83687,1SKR,NM11,1SKR253B
FDS AVIONICS CORPORATION                          ,6435 SHILOH ROAD                   ,SUITE D                            ,                                   ,ALPHARETTA            ,GA,30005,1SUR,SO11,1SUR276B
THE FRENCH CONNECTION                             ,809 GEORGE MADISON DRIVE           ,                                   ,                                   ,OWENSBORO             ,KY,42303,1TFR,CE17,1TFR462B
THE HOME DEPOT USA                                ,4135 SOUTH AIRPORT ROAD            ,4135 SOUTH AIRPORT ROAD            ,                                   ,ATLANTA               ,GA,30336,1THR,SO11,1THR297B
THINKOM SOLUTIONS INC                             ,4881 W. 145th Street               ,                                   ,                                   ,Hawthorne             ,CA,90250,1TKR,WP23,1TKR850C
TALON AIR MAINTENANCE SERVICES LLC                ,8300 REPUBLIC AIRPORT              ,                                   ,                                   ,FARMINGDALE           ,NY,11735,1TLR,EA11,1TLR581B
TALMA SERVICIOS                                   ,JORGE CHAVEZ INT'L AIRPORT         ,                                   ,                                   ,LIMA                  ,  ,          ,1TMY,FS57,1TMY400C
TAMPA CARGO SAS CORP.                            ,1650 NW 66 TH AVE SUITE 206        ,BLDG 708                           ,SUITE 211                          ,MIAMI                 ,FL,33126-7324,1TPR,SO19,1TPR381B
TRAKKA USA LLC                                    ,6817B ACADEMY PARKWAY EAST NE      ,                                   ,                                   ,ALBUQUERQUE           ,NM,87109,1TUR,SW01,1TUR278C
TOM WOOD AVIATION INC                             ,9913 WILLOW VIEW ROAD              ,                                   ,                                   ,FISHERS               ,IN,46038,1TWR,GL11,1TWR915M
PRECISE PITOT STATIC                              ,7383 River Glen Drive              ,                                   ,                                   ,Riverside             ,CA,92509,1UFR,WP21,1UFR670C
AIR TRAVEL MANAGEMENT LLC.                       ,854 Airport Road                   ,Building 19 Hangar 1              ,                                   ,Lemont Furnace        ,PA,15456,1UUR,EA03,1UUR910C
AVIDYNE CORPORATION                               ,710 NORTH DRIVE                    ,                                   ,                                   ,MELBOURNE             ,FL,32934,1VAR,SO15,1VAR161B
VENTURA AEROSPACE                                 ,31355 AGOURA ROAD                  ,                                   ,                                   ,WESTLAKE VILLAGE      ,CA,91361,1VOR,WP01,1VOR801B
AMETEK MRO FLORIDA INC                            ,7370 NW 35TH STREET                ,                                   ,                                   ,MIAMI                 ,FL,33122-1267,1VTR,SO19,1VTR273B
MJETS MAINTENANCE LIMITED                         ,Private Jet Terminal Don Mueang   ,Int't Airport 222 Viphavadee      ,Rangsit Road                       ,Bangkok               ,  ,10210,1WJY,FS58,1WJY617Y
WEST VALLEY PLATING INC                           ,21061 SUPERIOR STREET              ,                                   ,                                   ,CHATSWORTH            ,CA,91311,1WVR,WP01,1WVR001C
WESTWIND AVIATION INC                             ,732 W Deer Valley Rd.              ,                                   ,                                   ,Phoenix               ,AZ,85027,1WWR,WP07,1WWR827C
GAS TURBINE INSPECTIONS LLC                       ,1505 Wallace Drive                 ,Suite 154                          ,                                   ,Carrollton            ,TX,75006,1XUR,SW19,1XUR953C
AXIOM AVIONICS LLC                                ,19545 NW Von Neumann Dr            ,Suite 200                          ,                                   ,Beaverton             ,OR,97006,1XXR,NM09,1XXR791C
AEROBRIGHAM LLC                                   ,351 Airport Rd Bldg 500           ,                                   ,                                   ,Deactur               ,TX,76234,1YJR,SW19,1YJR859C
PRECISION TECH AERO INC.                         ,6051 NW 153rd Street               ,                                   ,                                   ,Miami Lakes           ,FL,33014,1YOR,SO19,1YOR846B
UNICAL MRO INC                                    ,255 South Leland Norton Way Bay 2 ,                                   ,                                   ,San Bernardino        ,CA,92408,1YZR,WP21,1YZR790C
AVIATION AND MARKETING INTERNATIONAL INC.         ,1903 Russell Palmer Road           ,#200                               ,                                   ,Kingwood              ,TX,77339,1ZLR,SW09,1ZLR981C
ZODIAC SEAT SHELLS US LLC                         ,2641 AIRPARK DRIVE                 ,                                   ,                                   ,SANTA MARIA           ,CA,93455,1ZSR,WP01,1ZSR160C
1 VISION FBO LLC                                 ,704 W. Airport Dr.                 ,                                   ,                                   ,Watertown             ,SD,57201,215R,GL27,215R836C
VORTEK AVIATION                                   ,9101 BOUDREAUX ROAD                ,                                   ,                                   ,TOMBALL               ,TX,77375,21AR,SW09,21AR049M
MOOG INC                                          ,1213 NORTH MAIN STREET             ,                                   ,                                   ,BLACKSBURG            ,VA,24060,21MR,EA21,21MR057C
SPECTRASENSORS                                    ,11027 ARROW ROUTE                  ,                                   ,                                   ,RANCHO CUCAMONGA      ,CA,91730,21SR,WP21,21SR985Y
TUNICA AIR GROUP                                  ,2456 WINCHESTER RD.                ,                                   ,                                   ,MEMPHIS               ,TN,38116,21TR,CE21,21TR987Y
AUDEMUS INC                                       ,849 Tailwind Ln.                   ,                                   ,                                   ,Mattaponi             ,VA,23110,21YR,EA21,21YR724C
ABC AEROLINEAS S A DE C V                         ,BOULDVARD                          ,MIGUEL ALEMAN S/N                  ,AEROPUERTO INTERNACIONAL DE TOLUCA ,TOLUCA                ,  ,50200,23IY,FS56,23IY051B
AMETEK REYNOSA SERVICE CENTER                     ,AV INDUSTRIAL RIO SAN JUAN AVE     ,PARQUE INDUSTRIAL DEL NORTE        ,                                   ,REYNOSA               ,  ,88730,24AY,FS56,24AY707Y
COSGROVE AIRCRAFT SERVICE INC                     ,COSGROVE AIRCRAFT SERVICE INC.    ,90 MOONACHIE AVENUE                ,                                   ,TETERBORO             ,NJ,7608,25CR,EA25,25CR671Y
FREEDOM AERO SERVICE INC                          ,949 Main Street                    ,                                   ,                                   ,Hamilton              ,OH,45013,25FD,GL05,25FD283B
FREEDOM AERO SERVICE INC                          ,3200 HOWARD STREET                 ,                                   ,                                   ,MCCLELLAN             ,CA,95652,25FR,WP25,25FR283B
25 REPAIR CENTRE LIMITED                          ,UNIT 2C EASTMEAD INDUSTRIAL ESTATE,LAVANT CHICESTER                  ,                                   ,WEST SUSSEX           ,  ,PO18 0DB  ,25RY,FS59,25RY339C
AVIONICS SYSTEMS LLC                              ,823 S. KING ST. UNIT D             ,                                   ,                                   ,LEESBURG              ,VA,20175,27AR,EA27,27AR086B
HOWARD AVIATION LLC                               ,31628 277th Street                 ,                                   ,                                   ,Winner                ,SD,57580,27HR,GL27,27HR144C
